,0
1805,technologist
1806,technology architect
1807,technology associate
1808,technology consultant
1809,technology consulting
1810,technology leader
1811,technology manager
1812,technology officer
1813,technology partner
1814,technology services
1815,technology specialist
1816,technology strategy
1817,telecom
1818,telecom engineer
1819,telecom technician
1820,telecommunication engineer
1821,teller
1822,tenant
1823,tender management
1824,territory manager
1825,territory sales
1826,territory sales manager
1827,test engineer
1828,test lead
1829,test manager
1830,tester
1831,testing engineer
1832,this person do not have listed work experience
1833,trader
1834,trainee
1835,trainee architect
1836,trainee engineer
1837,trainee intern
1838,trainee software engineer
1839,trainer
1840,training consultant
1841,training coordinator
1842,training director
1843,training engineer
1844,training manager
1845,training operations manager
1846,traniee
1847,transition project manager
1848,translator
1849,transmission engineer
1850,traveling
1851,treasurer
1852,treatment plant operator
1853,truck driver
1854,tutor
1855,tutoring
1856,ui/ux design
1857,ui/ux designer
1858,undergraduate intern
1859,undergraduate research
1860,undergraduate researcher
1861,undergraduate student
1862,underwriter
1863,unit manager
1864,university recruiting
1865,unix support
1866,urop
1867,us army
1868,user experience
1869,usher
1870,utility
1871,ux designer
1872,valet
1873,various assignments
1874,various companies
1875,various positions
1876,various roles
1877,vendor
1878,vendor management
1879,venture capital
1880,veteran
1881,vice - president
1882,vice chair
1883,vice president
1884,vice-chair
1885,vice-president
1886,visiting assistant professor
1887,visiting faculty
1888,visiting professor
1889,visiting scholar
1890,visitor
1891,visual merchandiser
1892,vmware
1893,vocational trainee
1894,vocational training
1895,voluntary
1896,volunteer
1897,volunteer leader
1898,volunteer teacher
1899,volunteer tutor
1900,volunteer work
1901,warehouse
1902,warehouse associate
1903,wealth management
1904,web applications
1905,web designer
1906,web designer/developer
1907,web developer
1908,web developer/designer
1909,web development
1910,web master
1911,web programmer
1912,web programming
1913,web researcher
1914,web site support
1915,webmaster
1916,welder
1917,wide area networks
1918,windows server administrator
1919,windows system administrator
1920,wipro
1921,wipro technologies
1922,work study
1923,workflow manager
1924,workforce planning
1925,working at
1926,working student
1927,workshop coordinator
1928,writer
